productName,productUrl,packSize,productRating,numberOfRating,actualPrice,discountPercent,offerPrice
Colgate Toothpaste for Diabetics with Madhunashini and Jamun Seed Extracts,https://www.1mg.com/otc/colgate-toothpaste-for-diabetics-with-madhunashini-and-jamun-seed-extracts-otc626144,tube of 70 gm Toothpaste,4.4,134 ratings,₹150,5% off,₹142
Ostocalcium B12 Banana Syrup,https://www.1mg.com/otc/ostocalcium-b12-banana-syrup-otc150793,bottle of 200 ml Syrup,4.5,264 ratings,₹151.58,11% off,₹134
Sofy Antibacteria 99.9% Sanitary Pads XL,https://www.1mg.com/otc/sofy-antibacteria-99.9-sanitary-pads-xl-otc369906,packet of 54 pads,4.4,120 ratings,₹399,12% off,₹351
Durex Play Body Massager,https://www.1mg.com/otc/durex-play-body-massager-otc341837,packet of 1 Unit,3.3,253 ratings,₹499,15% off,₹424
Dabur Giloy Neem Juice with Tulsi,https://www.1mg.com/otc/dabur-giloy-neem-juice-with-tulsi-otc591619,bottle of 1 Ltr Juice,4.4,251 ratings,₹270,20% off,₹216
Jiva Chyawanprash Sugar Free,https://www.1mg.com/otc/jiva-chyawanprash-sugar-free-otc342124,jar of 1 kg Paste,4.1,812 ratings,₹350,25% off,₹263
Depiwhite Cream,https://www.1mg.com/otc/depiwhite-cream-otc155159,tube of 15 ml Cream,3.9,184 ratings,₹456.5,13% off,₹397
Zandu Pure Honey,https://www.1mg.com/otc/zandu-pure-honey-otc389422,jar of 500 gm Paste,4.4,120 ratings,₹199,18% off,₹163
Dabur Triphala Churna,https://www.1mg.com/otc/dabur-triphala-churna-otc347806,jar of 500 gm Churna,4.3,572 ratings,₹164,15% off,₹139
Glucon-D Instant Energy Health Drink Tangy Orange with Free Sipper,https://www.1mg.com/otc/glucon-d-instant-energy-health-drink-tangy-orange-with-free-sipper-otc325036,box of 1 kg Powder,4.6,274 ratings,₹330,16% off,₹275
Dermadew Acne Soap,https://www.1mg.com/otc/dermadew-acne-soap-otc64079,packet of 75 gm Soap,4.3,243 ratings,₹175,15% off,₹149
Omnigel,https://www.1mg.com/otc/omnigel-otc243444,tube of 75 gm Gel,4.5,303 ratings,₹210,14% off,₹179
Hamdard Roghan Badam Shirin Oil,https://www.1mg.com/otc/hamdard-roghan-badam-shirin-oil-otc328134,bottle of 100 ml Oil,4.5,646 ratings,₹425,12% off,₹374
Softovac Bowel Regulator Powder,https://www.1mg.com/otc/softovac-bowel-regulator-powder-otc158465,jar of 100 gm Powder,4.3,323 ratings,₹170,11% off,₹150
